episod_to,ttl_reward
200,20.6874641597
201,21.0383484317
202,20.8387331475
203,20.628982084
204,20.7823818
205,20.8037968478
206,20.6523143886
207,20.7572814412
208,20.696750297
209,20.6349950707
210,20.665280807
211,20.6242613079
212,20.5193749871
213,20.5810762754
214,20.8077298694
215,20.6269526393
216,20.5904462179
217,20.6466708142
218,20.7103985487
219,20.6923001995
220,20.8149479568
221,20.7054168855
222,20.5962433299
223,20.6830391138
224,20.5406091633
225,20.7844127859
226,20.6373491057
227,20.9060603199
228,20.6941883539
229,20.8938644502
230,20.7293337577
231,16.3383196874
232,20.6342686353
233,20.7517721824
234,21.1540730819
235,21.2197773905
236,8.60687113364
237,13.5831474949
238,13.8172796405
239,13.2175647031
240,13.8207577618
241,13.6341460761
242,13.7213526372
243,14.1786250016
244,13.306526937
245,13.4659462188
246,13.0002549964
247,13.5834701579
248,13.9732713823
249,13.7622148226
250,12.9431926184
251,13.6903933329
252,13.6102198103
253,12.8315372353
254,14.0596903157
255,13.7027762325
256,10.5899665559
257,21.3737264224
258,23.8041417089
259,21.3440971539
260,23.8026771853
261,23.8056487851
262,23.8055745613
263,23.8056462769
264,23.805648427
265,23.8056410245
266,23.8056009782
267,23.8056367639
268,23.8056257681
269,16.4716284195
270,22.5464277033
271,23.7864856021
272,23.8044313948
273,23.8054922717
274,23.805635015
275,23.8056509369
276,23.805613524
277,23.8056401949
278,23.8056311575
279,23.8056488645
280,23.8056549379
281,23.8056447414
282,23.8056363283
283,23.805645804
284,23.80565163
285,23.8056496249
286,23.8056337294
287,23.805634269
288,23.8055732069
289,23.8056428666
290,23.8056417613
291,23.805643615
292,23.8056512404
293,23.8056360693
294,23.805635404
295,23.8056858279
296,23.8056227242
297,23.8056409968
298,23.8056198973
299,23.8056519529
300,23.8056420329
301,23.8056497244
302,23.8056433888
303,23.8056432479
304,23.8056501687
305,23.8056543332
306,23.8056097616
307,23.8056442518
308,23.8056432439
309,23.8056192729
310,23.8055934126
311,23.8056180682
312,23.8056503227
313,23.8056572817
314,23.8056465705
315,23.8056091819
316,23.8056503217
317,23.8056454525
318,23.8056399329
319,23.8056609941
320,23.8056437244
321,23.8056502694
322,23.8056471709
323,23.8056495496
324,23.8056327004
325,23.8056572011
326,23.8056043514
327,23.8056582133
328,23.8056174437
329,23.8056658797
330,23.8056035665
331,23.8056349198
332,23.8055961707
333,23.8056459439
334,23.8056332755
335,23.8056476778
336,23.8056453413
337,23.8056422451
338,23.8056455386
339,23.8056494244
340,23.8056407114
341,23.8055883076
342,23.8056473497
343,23.8056109066
344,23.8056318666
345,23.8056707262
346,23.8056257495
347,23.8056444371
348,23.8056413564
349,23.8056459099
350,23.8056472326
351,23.8056091968
352,23.8056401554
353,23.805638148
354,23.8056325614
355,23.8056486998
356,23.805648122
357,23.8055985454
358,23.8056233576
359,23.8056458162
360,23.8056427053
